document_id,source_relative_path,source_sha256,page_number,extraction_method,ocr_average_confidence,native_text_characters,extracted_text_characters,review_required,review_reasons,text_file
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,1,ocr,71.81944444444444,69,311,True,low_ocr_confidence,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0001.txt
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,6,ocr,21.0,0,6,True,low_ocr_confidence;low_text_yield,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0006.txt
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,670b2086769369ee037067abe60a6c5ed04b0ab95a283caddb662fe6f450278a,1,ocr,71.96875,25,158,True,low_ocr_confidence,page_text\18_states_memo_clean_declass_mark_redacted_670b20867693\page_0001.txt
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,670b2086769369ee037067abe60a6c5ed04b0ab95a283caddb662fe6f450278a,2,ocr,53.598984771573605,0,768,True,low_ocr_confidence,page_text\18_states_memo_clean_declass_mark_redacted_670b20867693\page_0002.txt
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,670b2086769369ee037067abe60a6c5ed04b0ab95a283caddb662fe6f450278a,4,ocr,66.44,0,238,True,low_ocr_confidence,page_text\18_states_memo_clean_declass_mark_redacted_670b20867693\page_0004.txt
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,670b2086769369ee037067abe60a6c5ed04b0ab95a283caddb662fe6f450278a,5,ocr,0.0,0,0,True,low_ocr_confidence;low_text_yield,page_text\18_states_memo_clean_declass_mark_redacted_670b20867693\page_0005.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,2,ocr,60.86764705882353,0,536,True,low_ocr_confidence,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0002.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,3,ocr,47.44206008583691,0,830,True,low_ocr_confidence,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0003.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,23,ocr,66.0,0,153,True,low_ocr_confidence,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0023.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,24,ocr,0.0,0,0,True,low_ocr_confidence;low_text_yield,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0024.txt
email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf,bb2b9cbb2c9833028ccf1b2f32d5d009203b60690b0fcb88bb34357014aec12e,3,ocr,68.8,0,1166,True,low_ocr_confidence,page_text\email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98\page_0003.txt
email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf,bb2b9cbb2c9833028ccf1b2f32d5d009203b60690b0fcb88bb34357014aec12e,5,ocr,74.55625,0,667,True,low_ocr_confidence,page_text\email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98\page_0005.txt
email_nsa_massagedpdb_23nov2020_declass_redact_3b4950eaeef1,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_23NOV2020_DECLASS_REDACT.pdf,3b4950eaeef104c15054ef1367abd9ac2d67438ed1e0ff286a1621db9d78965b,6,ocr,89.81818181818181,0,57,True,low_text_yield,page_text\email_nsa_massagedpdb_23nov2020_declass_redact_3b4950eaeef1\page_0006.txt
email_re_for_ic_coord_by_oct_7_2020_7oct2020_declass_redacted_9422d9bac9c6,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE For IC coord by Oct 7 2020  7OCT2020 DECLASS REDACTED.pdf,9422d9bac9c6eceaf4125708d5b4476dae54841bad38b85af599782e82711180,5,ocr,0.0,0,0,True,low_ocr_confidence;low_text_yield,page_text\email_re_for_ic_coord_by_oct_7_2020_7oct2020_declass_redacted_9422d9bac9c6\page_0005.txt
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,48ddc4a93e6d4283be828cb77ea7f543a47e3cee664bdcbbbc8663da1b5b816d,19,ocr,14.5,0,4,True,low_ocr_confidence;low_text_yield,page_text\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d\page_0019.txt
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,48ddc4a93e6d4283be828cb77ea7f543a47e3cee664bdcbbbc8663da1b5b816d,20,ocr,8.5,0,6,True,low_ocr_confidence;low_text_yield,page_text\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d\page_0020.txt
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,48ddc4a93e6d4283be828cb77ea7f543a47e3cee664bdcbbbc8663da1b5b816d,21,ocr,36.0,0,3,True,low_ocr_confidence;low_text_yield,page_text\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d\page_0021.txt
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,48ddc4a93e6d4283be828cb77ea7f543a47e3cee664bdcbbbc8663da1b5b816d,24,ocr,74.875,0,177,True,low_ocr_confidence,page_text\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d\page_0024.txt
fbi_albany_iir_provided_to_chairman_grassley_a08dc2a347dd,2. ChinaAcquisitionExploitationAmericanVoterData\FBI_ALBANY_IIR_PROVIDED_TO_CHAIRMAN GRASSLEY .pdf,a08dc2a347dd6d0b8e8c40ff5eb6204e08b2854c92acf8b2eb47309458048b7f,6,ocr,77.0,0,18,True,low_text_yield,page_text\fbi_albany_iir_provided_to_chairman_grassley_a08dc2a347dd\page_0006.txt
note_sensitive_prc_reporting_from_2018_2020_declass_redacted_ebc8700c7d5a,2. ChinaAcquisitionExploitationAmericanVoterData\Note - Sensitive PRC Reporting from 2018-2020 DECLASS_REDACTED.pdf,ebc8700c7d5a49df87d2002d953d9e8fd18e28b24ac6fe241944da278f485a34,1,ocr,62.59090909090909,0,185,True,low_ocr_confidence,page_text\note_sensitive_prc_reporting_from_2018_2020_declass_redacted_ebc8700c7d5a\page_0001.txt
pdb_25jun2020_declass_redacted_ab523302b7e2,2. ChinaAcquisitionExploitationAmericanVoterData\PDB 25JUN2020_DECLASS_REDACTED.pdf,ab523302b7e2c77b5d530b1483f668e76581accbb0eb14180ab1d1a7acfd3302,2,ocr,0.0,0,2,True,low_ocr_confidence;low_text_yield,page_text\pdb_25jun2020_declass_redacted_ab523302b7e2\page_0002.txt
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,1,ocr,53.21965317919075,25,690,True,low_ocr_confidence,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0001.txt
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,2,ocr,50.026315789473685,0,110,True,low_ocr_confidence,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0002.txt
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,4,ocr,0.0,0,0,True,low_ocr_confidence;low_text_yield,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0004.txt
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,5,ocr,0.0,0,0,True,low_ocr_confidence;low_text_yield,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0005.txt
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,6,ocr,0.0,0,0,True,low_ocr_confidence;low_text_yield,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0006.txt
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,7,ocr,22.61111111111111,0,45,True,low_ocr_confidence;low_text_yield,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0007.txt
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,8,ocr,36.083333333333336,0,56,True,low_ocr_confidence;low_text_yield,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0008.txt
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,a809fb5ace7f3a5b1a9748e243fd9e5f008e55fcec93352009e5eb2ee08695e7,1,ocr,33.126126126126124,25,297,True,low_ocr_confidence,page_text\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f\page_0001.txt
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,a809fb5ace7f3a5b1a9748e243fd9e5f008e55fcec93352009e5eb2ee08695e7,2,ocr,44.157303370786515,0,264,True,low_ocr_confidence,page_text\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f\page_0002.txt
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,a809fb5ace7f3a5b1a9748e243fd9e5f008e55fcec93352009e5eb2ee08695e7,3,ocr,71.33333333333333,0,589,True,low_ocr_confidence,page_text\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f\page_0003.txt
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,a809fb5ace7f3a5b1a9748e243fd9e5f008e55fcec93352009e5eb2ee08695e7,6,ocr,0.0,0,0,True,low_ocr_confidence;low_text_yield,page_text\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f\page_0006.txt
prc_u_s_presidential_election_related_intelligence_in_2020_clean_declass_91565055d7ed,2. ChinaAcquisitionExploitationAmericanVoterData\PRC U.S. Presidential Election-Related Intelligence in 2020 - clean - declass marked_Redacted.pdf,91565055d7ed239f44d40bd990197ea1830814c48a154c6db6e8bdfb88809e5c,4,ocr,0.0,0,1,True,low_ocr_confidence;low_text_yield,page_text\prc_u_s_presidential_election_related_intelligence_in_2020_clean_declass_91565055d7ed\page_0004.txt
prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25,2. ChinaAcquisitionExploitationAmericanVoterData\PRC US Voter Data 7 States 2023 - clean - declass marked_Redacted.pdf,506d61a75e258e2537bc06d369e8ecf97af68a61e581024bbc71fed3d8afe922,1,ocr,42.18939393939394,25,458,True,low_ocr_confidence,page_text\prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25\page_0001.txt
prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25,2. ChinaAcquisitionExploitationAmericanVoterData\PRC US Voter Data 7 States 2023 - clean - declass marked_Redacted.pdf,506d61a75e258e2537bc06d369e8ecf97af68a61e581024bbc71fed3d8afe922,3,ocr,95.63636363636364,0,57,True,low_text_yield,page_text\prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25\page_0003.txt
tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838,2. ChinaAcquisitionExploitationAmericanVoterData\Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,3a12fd071838ce6e90acf284a97cffbf7b9a47499325d6e80f005941539e073a,3,ocr,95.29411764705883,69,72,True,low_text_yield,page_text\tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838\page_0003.txt
tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838,2. ChinaAcquisitionExploitationAmericanVoterData\Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,3a12fd071838ce6e90acf284a97cffbf7b9a47499325d6e80f005941539e073a,4,ocr,65.98984771573605,69,670,True,low_ocr_confidence,page_text\tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838\page_0004.txt
tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838,2. ChinaAcquisitionExploitationAmericanVoterData\Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,3a12fd071838ce6e90acf284a97cffbf7b9a47499325d6e80f005941539e073a,35,ocr,74.63970588235294,69,634,True,low_ocr_confidence,page_text\tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838\page_0035.txt
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,ac95b16038bc58837c9800bfc37cb3b208bf45f7ae9fdde7da811ed887ecffe1,1,ocr,61.62109375,25,1073,True,low_ocr_confidence,page_text\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc\page_0001.txt
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,ac95b16038bc58837c9800bfc37cb3b208bf45f7ae9fdde7da811ed887ecffe1,4,ocr,96.0,0,5,True,low_text_yield,page_text\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc\page_0004.txt
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,ac95b16038bc58837c9800bfc37cb3b208bf45f7ae9fdde7da811ed887ecffe1,5,ocr,95.38461538461539,0,62,True,low_text_yield,page_text\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc\page_0005.txt
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,ac95b16038bc58837c9800bfc37cb3b208bf45f7ae9fdde7da811ed887ecffe1,6,ocr,0.0,0,0,True,low_ocr_confidence;low_text_yield,page_text\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc\page_0006.txt
pin_edmi_declination_release_marked_c1dce1a99c75,3. MichiganVoterRegistrationInvestigation\PIN EDMI declination - RELEASE MARKED.pdf,c1dce1a99c75d4842c66947d53b7a6c13f691d1933c12fe2519d77e7db14ffc2,4,ocr,95.85714285714286,69,69,True,low_text_yield,page_text\pin_edmi_declination_release_marked_c1dce1a99c75\page_0004.txt
